year,age,sex,pop,deaths,mort_rx,surv_rx
2022,44,Female," 98,454 ", 100 ,0.001019,0.998981
2022,45,Female," 98,353 ", 109 ,0.001111,0.998889
2022,46,Female," 98,244 ", 119 ,0.001211,0.998789
2022,47,Female," 98,125 ", 129 ,0.001318,0.998682
2022,48,Female," 97,996 ", 140 ,0.001432,0.998568
2022,49,Female," 97,856 ", 152 ,0.001554,0.998446
2022,50,Female," 97,703 ", 165 ,0.001685,0.998315
2022,51,Female," 97,539 ", 178 ,0.001824,0.998176
2022,52,Female," 97,361 ", 192 ,0.001972,0.998028
2022,53,Female," 97,169 ", 207 ,0.002131,0.997869
2022,54,Female," 96,962 ", 223 ,0.002302,0.997698
2022,55,Female," 96,739 ", 241 ,0.002487,0.997513
2022,56,Female," 96,498 ", 259 ,0.002688,0.997312
2022,57,Female," 96,239 ", 280 ,0.002908,0.997092
2022,58,Female," 95,959 ", 302 ,0.003147,0.996853
2022,59,Female," 95,657 ", 326 ,0.003407,0.996593
2022,60,Female," 95,331 ", 352 ,0.003690,0.996310
2022,61,Female," 94,979 ", 380 ,0.003999,0.996001
2022,62,Female," 94,599 ", 410 ,0.004335,0.995665
2022,63,Female," 94,189 ", 443 ,0.004699,0.995301
2022,64,Female," 93,747 ", 477 ,0.005093,0.994907
2022,65,Female," 93,269 ", 515 ,0.005520,0.994480
2022,66,Female," 92,754 ", 555 ,0.005981,0.994019
2022,67,Female," 92,200 ", 600 ,0.006510,0.993490
2022,68,Female," 91,599 ", 661 ,0.007220,0.992780
2022,69,Female," 90,938 ", 733 ,0.008058,0.991942
2022,70,Female," 90,205 ", 807 ,0.008944,0.991056
2022,71,Female," 89,398 ", 885 ,0.009902,0.990098
2022,72,Female," 88,513 ", 972 ,0.010980,0.989020
2022,73,Female," 87,541 "," 1,070 ",0.012226,0.987774
2022,74,Female," 86,471 "," 1,184 ",0.013687,0.986313
2022,75,Female," 85,288 "," 1,314 ",0.015412,0.984588
2022,76,Female," 83,973 "," 1,465 ",0.017447,0.982553
2022,77,Female," 82,508 "," 1,637 ",0.019838,0.980162
2022,78,Female," 80,871 "," 1,830 ",0.022630,0.977370
2022,79,Female," 79,041 "," 2,045 ",0.025869,0.974131
2022,80,Female," 76,996 "," 2,279 ",0.029597,0.970403
2022,81,Female," 74,718 "," 2,530 ",0.033855,0.966145
2022,82,Female," 72,188 "," 2,794 ",0.038708,0.961292
2022,83,Female," 69,394 "," 3,075 ",0.044309,0.955691
2022,84,Female," 66,319 "," 3,371 ",0.050829,0.949171
2022,85,Female," 62,948 "," 3,678 ",0.058432,0.941568
2022,86,Female," 59,270 "," 3,987 ",0.067273,0.932727
2022,87,Female," 55,283 "," 4,284 ",0.077496,0.922504
2022,88,Female," 50,998 "," 4,549 ",0.089195,0.910805
2022,89,Female," 46,450 "," 4,752 ",0.102311,0.897689
2022,90,Female," 41,697 "," 4,868 ",0.116744,0.883256
2022,91,Female," 36,829 "," 4,876 ",0.132391,0.867609
2022,92,Female," 31,954 "," 4,766 ",0.149146,0.850854
2022,93,Female," 27,188 "," 4,538 ",0.166899,0.833101
2022,94,Female," 22,650 "," 4,203 ",0.185542,0.814458
2022,95,Female," 18,448 "," 3,781 ",0.204981,0.795019
2022,96,Female," 14,666 "," 3,300 ",0.224983,0.775017
2022,97,Female," 11,367 "," 2,785 ",0.245023,0.754977
2022,98,Female," 8,581 "," 2,272 ",0.264713,0.735287
2022,99,Female," 6,310 "," 1,791 ",0.283782,0.716218
2022,100,Female," 4,519 "," 1,365 ",0.302064,0.697936
2022,101,Female," 3,154 "," 1,008 ",0.319485,0.680515
2022,102,Female," 2,146 ", 721 ,0.336057,0.663943
2022,103,Female," 1,425 ", 501 ,0.351859,0.648141
2022,104,Female, 924 , 339 ,0.367035,0.632965
2022,105,Female, 585 , 223 ,0.381783,0.618217
2022,106,Female, 361 , 143 ,0.395976,0.604024
2022,107,Female, 218 , 89 ,0.409556,0.590444
2022,108,Female, 129 , 54 ,0.422538,0.577462
2022,109,Female, 74 , 32 ,0.434930,0.565070
